namespace,pod,container,timestamp,cpu_usage,mem_usage
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603060000,0.833345429813001,0.2625370025634765
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603120000,0.9998419962631208,0.6411946614583334
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603180000,1.0010794057879442,0.6543350219726562
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603240000,1.0015226459476982,0.9056339263916016
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603300000,1.000744159509202,0.7539535522460937
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603360000,0.8127812270856488,0.3947505950927734
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603420000,0.5025260175764904,0.1689109802246093
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603480000,0.9997576975519356,0.3635711669921875
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603540000,0.9483911754990576,0.2832164764404297
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603600000,0.998557994466954,0.3546829223632812
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603660000,0.9972822979180171,0.3352699279785156
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603720000,0.8805277226778804,0.2871017456054687
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603780000,0.998044019895894,0.3982747395833333
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603840000,0.9987148227712138,0.5626125335693359
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603900000,0.9966530153599188,0.536938985188802
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731603960000,0.9989029366468594,0.4077194213867187
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604020000,0.9976710689440448,0.3997020721435547
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604080000,0.9981843653216556,0.4486713409423828
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604140000,0.8134751911261996,0.4738883972167969
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604200000,0.81479729728065,0.2812156677246094
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604260000,0.8356981452795935,0.2818946838378906
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604320000,0.7932357056814998,0.2918497721354167
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604380000,0.6957998833415634,0.2837257385253906
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604440000,0.857637669598878,0.2824432373046875
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604500000,0.8421114338918139,0.2861957550048828
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604560000,0.8591979041308089,0.2825527191162109
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604620000,0.8119185576506258,0.2876434326171875
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604680000,0.8443585570182284,0.2795619964599609
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604740000,0.8427521713617598,0.289154052734375
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604800000,0.8408990222775152,0.282012939453125
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604860000,0.8442523282046572,0.2845535278320312
free5gc,free5gc-amf-7cbccff989-bbx5m,amf,1731604920000,0.9385890937328484,0.3470993041992187
